stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id,imb_s1,imb_s2,reference_price_far_price_diff,reference_price_near_price_diff,reference_price_ask_price_diff,reference_price_bid_price_diff,reference_price_wap_diff,far_price_near_price_diff,far_price_ask_price_diff,far_price_bid_price_diff,far_price_wap_diff,near_price_ask_price_diff,near_price_bid_price_diff,near_price_wap_diff,ask_price_bid_price_diff,ask_price_wap_diff,bid_price_wap_diff,prediction
10,450,0,2577532.84,-1,0.999701,4905165.61,,,0.999701,35831.29,1.000063,7511.28,1.0,-2.8902292,24750,450_0_10,0.6533994177087331,-0.3110686319318401,,,-0.00036199999999997345,0.0,-0.0002990000000000492,,,,,,,,0.00036199999999997345,6.299999999992423e-05,-0.0002990000000000492,0.121649235
11,450,0,1297373.52,-1,0.999626,2644110.16,,,0.999959,6005.0,1.000792,115752.6,1.0,4.0900707,24750,450_0_11,-0.901361393457164,-0.3416826630118129,,,-0.0011659999999998893,-0.0003330000000000277,-0.00037399999999998546,,,,,,,,0.0008329999999998616,0.0007919999999999039,-4.099999999995774e-05,0.49199566
12,450,0,18869692.25,1,0.999961,54017549.33,,,0.999649,5155.68,1.000764,11220.5,1.0,-8.209944,24750,450_0_12,-0.3703439996384993,-0.4822223521989402,,,-0.0008029999999999982,0.00031199999999997896,-3.900000000001125e-05,,,,,,,,0.0011149999999999771,0.0007639999999999869,-0.0003509999999999902,0.45537037
13,450,0,13943389.46,1,0.999899,15423498.2,,,0.999899,1982.0,1.000504,9916.0,1.0,-9.469986,24750,450_0_13,-0.6668347621448983,-0.05040059938037024,,,-0.0006050000000000777,0.0,-0.00010100000000001774,,,,,,,,0.0006050000000000777,0.00050400000000006,-0.00010100000000001774,0.49199566
14,450,0,22559566.99,1,1.000908,67297532.28,,,0.999825,3241.89,1.001241,23086.08,1.0,-1.9598007,24750,450_0_14,-0.7537303483709531,-0.497879028518077,,,-0.00033300000000013874,0.0010829999999999451,0.0009079999999999089,,,,,,,,0.0014160000000000839,0.0012410000000000476,-0.00017500000000003624,0.9488848
15,450,0,9758502.53,1,1.000426,11707045.42,,,0.999979,223.94,1.001051,11209.0,1.0,19.780397,24750,450_0_15,-0.9608254744623866,-0.09077536220080516,,,-0.0006249999999998757,0.0004470000000000862,0.00042600000000003746,,,,,,,,0.0010719999999999619,0.0010509999999999131,-2.1000000000048757e-05,0.90293634
16,450,0,861015.75,-1,0.999224,4456099.72,,,0.998939,62975.25,1.000009,560.38,1.0,-2.6500225,24750,450_0_16,0.9823601339909591,-0.6761342668377296,,,-0.0007849999999999246,0.0002849999999999797,-0.0007759999999999989,,,,,,,,0.0010699999999999044,8.999999999925734e-06,-0.0010609999999999786,-0.6257314
17,450,0,41733696.01,1,0.999716,42492342.5,,,0.999856,4283.1,1.001443,42899.0,1.0,3.1495094,24750,450_0_17,-0.8184438590058518,-0.00900726786420009,,,-0.001727000000000034,-0.00013999999999991797,-0.00028399999999995096,,,,,,,,0.001587000000000116,0.001443000000000083,-0.000144000000000033,0.45537037
18,450,0,691169.23,-1,0.99969,1763015.34,,,0.99969,7179.0,1.000108,2489.76,1.0,16.44969,24750,450_0_18,0.48498876794956125,-0.4367422577349184,,,-0.00041800000000002946,0.0,-0.00031000000000003247,,,,,,,,0.00041800000000002946,0.00010799999999999699,-0.00031000000000003247,0.30754164
19,450,0,0.0,0,0.999686,4662804.6,,,0.999686,8905.09,1.000741,21053.37,1.0,7.7199936,24750,450_0_19,-0.4055041547529479,-1.0,,,-0.0010550000000001392,0.0,-0.00031400000000003647,,,,,,,,0.0010550000000001392,0.0007410000000001027,-0.00031400000000003647,0.5132929
20,450,0,3978352.7,1,0.99943,8673188.41,,,0.998845,51228.0,1.000092,4103.36,1.0,-8.069873,24750,450_0_20,0.8516804936657982,-0.3710880492092082,,,-0.0006619999999999404,0.0005850000000000577,-0.0005699999999999594,,,,,,,,0.0012469999999999981,9.199999999998099e-05,-0.0011550000000000171,-0.9886795
21,450,0,1090534.89,-1,0.999405,1174761.61,,,0.999405,16746.0,1.0003,8436.37,1.0,0.6699562,24750,450_0_21,0.3299780759316934,-0.0371813226215642,,,-0.0008949999999999791,0.0,-0.0005950000000000122,,,,,,,,0.0008949999999999791,0.00029999999999996696,-0.0005950000000000122,0.007073383
22,450,0,35464593.78,1,0.998286,33719664.33,,,0.999326,21625.0,1.000135,4328.5,1.0,-10.769963,24750,450_0_22,0.666441905715992,0.02522148097946848,,,-0.0018489999999999895,-0.001040000000000041,-0.0017139999999999933,,,,,,,,0.0008089999999999486,0.00013499999999999623,-0.0006739999999999524,-1.1486611
23,450,0,18362205.54,1,0.999278,14566618.35,,,0.998595,5114.5,1.00045,1639.68,1.0,1.3399124,24750,450_0_23,0.5144695581106811,0.11526640619413873,,,-0.0011720000000000619,0.0006829999999999892,-0.0007220000000000004,,,,,,,,0.001855000000000051,0.00045000000000006146,-0.0014049999999999896,-0.82824683
24,450,0,822346.48,1,0.999658,16604654.32,,,0.999545,8778.0,1.000228,4392.0,1.0,-3.7699938,24750,450_0_24,0.33302961275626425,-0.9056238661560169,,,-0.0005699999999998484,0.00011300000000002974,-0.00034199999999995345,,,,,,,,0.0006829999999998781,0.00022799999999989495,-0.0004549999999999832,0.43111035
25,450,0,5359672.44,1,0.999622,4996087.23,,,0.999709,11459.0,1.000145,5732.0,1.0,0.33020973,24750,450_0_25,0.3331394334244663,0.0351094677344902,,,-0.0005230000000000512,-8.699999999994823e-05,-0.00037799999999998946,,,,,,,,0.00043600000000010297,0.00014500000000006175,-0.0002910000000000412,0.057061646
26,450,0,5756797.16,1,0.99964,5436955.81,,,0.99964,40788.95,1.000619,70150.08,1.0,0.22053719,24750,450_0_26,-0.26466005697003125,0.028573200682308838,,,-0.0009789999999999521,0.0,-0.00036000000000002697,,,,,,,,0.0009789999999999521,0.0006189999999999252,-0.00036000000000002697,0.49199566
27,450,0,9232214.3,1,0.999752,8199144.87,,,0.999857,11882.5,1.000909,75747.36,1.0,4.9102306,24750,450_0_27,-0.7288024881016585,0.05926499591483092,,,-0.0011570000000000746,-0.00010500000000002174,-0.000248000000000026,,,,,,,,0.001052000000000053,0.0009090000000000487,-0.00014300000000000423,0.49199566
28,450,0,923114.71,1,0.999757,9710904.37,,,0.99898,44971.5,1.000146,6432.0,1.0,-4.069805,24750,450_0_28,0.7497446671919227,-0.8263846052832173,,,-0.0003889999999999727,0.0007770000000000277,-0.00024299999999999322,,,,,,,,0.0011660000000000004,0.00014599999999997948,-0.0010200000000000209,-0.93460894
29,450,0,6658944.84,1,0.999632,19556061.5,,,0.999632,1881.96,1.000184,941.5,1.0,-5.9199333,24750,450_0_29,0.3330877717410553,-0.4919745771841,,,-0.0005519999999999969,0.0,-0.00036800000000003497,,,,,,,,0.0005519999999999969,0.00018399999999996197,-0.00036800000000003497,0.45057228
30,450,0,0.0,0,0.999775,5010894.25,,,0.999775,15285.9,1.000155,10546.0,1.0,-7.1400404,24750,450_0_30,0.1834901807455123,-1.0,,,-0.00037999999999993594,0.0,-0.00022500000000003073,,,,,,,,0.00037999999999993594,0.00015499999999990521,-0.00022500000000003073,0.16822848
31,450,0,5323.32,-1,0.999951,69266.98,,,0.999951,184.07,1.000625,2346.19,1.0,-22.630096,24750,450_0_31,-0.854505070625153,-0.8572650867472045,,,-0.0006740000000000634,0.0,-4.899999999996574e-05,,,,,,,,0.0006740000000000634,0.0006250000000000977,-4.899999999996574e-05,-2.396331
32,450,0,1324200.33,1,0.999252,4979862.21,,,0.999252,21175.62,1.000002,66.64,1.0,1.7297268,24750,450_0_32,0.9937257146838425,-0.5798898498871808,,,-0.0007500000000000284,0.0,-0.0007479999999999709,,,,,,,,0.0007500000000000284,2.0000000000575113e-06,-0.0007479999999999709,-0.27342716
33,450,0,2692705.87,-1,1.000038,2140715.05,,,0.999692,8446.83,1.000038,1041.75,1.0,4.9102306,24750,450_0_33,0.7804202525562307,0.11420292772680768,,,0.0,0.00034599999999995745,3.799999999998249e-05,,,,,,,,0.00034599999999995745,3.799999999998249e-05,-0.00030799999999997496,0.0871333
34,450,0,11328170.4,1,1.001036,26234403.97,,,0.999361,50709.64,1.001063,84411.0,1.0,0.8404255,24750,450_0_34,-0.24941681744550645,-0.3968373792267316,,,-2.6999999999999247e-05,0.001674999999999982,0.0010360000000000369,,,,,,,,0.0017019999999999813,0.0010630000000000361,-0.0006389999999999452,0.8862079
35,450,0,7976785.66,1,0.999909,12750064.45,,,0.999909,1995.38,1.000575,12610.8,1.0,9.089708,24750,450_0_35,-0.7267759263544608,-0.23029446175697746,,,-0.0006659999999999444,0.0,-9.099999999995223e-05,,,,,,,,0.0006659999999999444,0.0005749999999999922,-9.099999999995223e-05,0.49199566
36,450,0,6342079.33,-1,0.999519,21383219.7,,,0.999145,38151.4,1.000018,802.2,1.0,-0.1001358,24750,450_0_36,0.9588125359401957,-0.5425059745514311,,,-0.0004990000000000272,0.0003740000000000965,-0.0004809999999999537,,,,,,,,0.0008730000000001237,1.8000000000073513e-05,-0.0008550000000000502,-0.3193301
37,450,0,7950176.62,1,1.001009,28451564.64,,,0.999987,215.21,1.001334,21981.0,1.0,10.279417,24750,450_0_37,-0.9806084011639826,-0.5631980040066907,,,-0.0003249999999999087,0.0010220000000000784,0.0010090000000000376,,,,,,,,0.001346999999999987,0.0013339999999999463,-1.3000000000040757e-05,1.3882698
38,450,0,14651259.62,1,0.999901,15856348.69,,,0.999773,118079.25,1.000028,14714.76,1.0,-2.4402142,24750,450_0_38,0.7783821725091365,-0.03950126334895245,,,-0.0001269999999998772,0.000128000000000017,-9.899999999996023e-05,,,,,,,,0.0002549999999998942,2.799999999991698e-05,-0.00022699999999997722,0.08271049
39,450,0,2015635.23,1,0.998818,13608136.49,,,0.997866,5186.28,1.000194,472.58,1.0,-16.97004,24750,450_0_39,0.8329769600237504,-0.7419784075032555,,,-0.0013760000000000439,0.0009519999999999529,-0.0011820000000000164,,,,,,,,0.0023279999999999967,0.00019400000000002748,-0.0021339999999999693,-2.1729023
40,450,0,0.0,0,0.999627,4698268.31,,,0.999851,89.4,1.000075,44.71,1.0,16.549826,24750,450_0_40,0.33323391245992096,-1.0,,,-0.00044800000000000395,-0.00022400000000000198,-0.0003729999999999567,,,,,,,,0.00022400000000000198,7.500000000004725e-05,-0.00014899999999995472,0.16822848
41,450,0,156449899.9,1,0.999649,402760578.74,,,0.999743,184368.73,1.000058,41900.76,1.0,-3.849864,24750,450_0_41,0.6296384457312384,-0.44046148677154195,,,-0.0004089999999998817,-9.40000000000385e-05,-0.0003509999999999902,,,,,,,,0.0003149999999998432,5.799999999989147e-05,-0.0002569999999999517,0.21333924
42,450,0,217364.03,-1,0.997743,2056902.53,,,0.997672,31020.0,1.000042,565.34,1.0,2.7894974,24750,450_0_42,0.9642023799648825,-0.8088491174930699,,,-0.002299000000000051,7.100000000004325e-05,-0.0022569999999999535,,,,,,,,0.0023700000000000943,4.2000000000097515e-05,-0.0023279999999999967,0.38608733
43,450,0,7804424.04,1,0.999178,3644946.49,,,0.999244,45002.49,1.000506,30140.0,1.0,-8.410215,24750,450_0_43,0.1977907572666277,0.36329312070923075,,,-0.0013279999999998848,-6.60000000000105e-05,-0.0008219999999999894,,,,,,,,0.0012619999999998743,0.0005059999999998954,-0.0007559999999999789,-0.26377094
44,450,0,8417039.48,1,0.999464,16675188.01,,,0.999464,6904.6,1.000014,181.8,1.0,-3.1399727,24750,450_0_44,0.9486904493113569,-0.32911181493516733,,,-0.0005499999999999394,0.0,-0.0005359999999999809,,,,,,,,0.0005499999999999394,1.399999999995849e-05,-0.0005359999999999809,-0.395981
45,450,0,240434788.36,1,0.999478,742874965.73,,,0.999949,21032.22,1.000137,56415.21,1.0,-1.630187,24750,450_0_45,-0.45686461125953437,-0.5109683650346591,,,-0.0006590000000000762,-0.0004709999999999992,-0.0005220000000000224,,,,,,,,0.000188000000000077,0.00013700000000005375,-5.100000000002325e-05,0.19866847
46,450,0,438252.1,-1,1.000235,4218728.17,,,0.999995,83.27,1.000956,16670.0,1.0,1.0502338,24750,450_0_46,-0.9900592541038257,-0.8117870059174633,,,-0.0007209999999999717,0.00024000000000001798,0.00023499999999998522,,,,,,,,0.0009609999999999896,0.0009559999999999569,-5.000000000032756e-06,0.6948131
47,450,0,377724.87,1,1.000141,5174807.6,,,0.999968,5319.9,1.000141,23712.35,1.0,2.2995472,24750,450_0_47,-0.6335178981994161,-0.8639450117434432,,,0.0,0.00017299999999997873,0.00014099999999994672,,,,,,,,0.00017299999999997873,0.00014099999999994672,-3.2000000000032e-05,0.40148583
48,450,0,2924979.83,1,0.999573,10575212.6,,,0.999676,19530.0,1.000648,39098.0,1.0,-1.2499094,24750,450_0_48,-0.3337654363102954,-0.5666758314496114,,,-0.0010749999999999371,-0.00010299999999996423,-0.0004269999999999552,,,,,,,,0.0009719999999999729,0.0006479999999999819,-0.00032399999999999096,0.49199566
49,450,0,2095970.44,-1,0.999943,6637063.66,,,0.999943,5030.0,1.00034,29814.6,1.0,17.360449,24750,450_0_49,-0.7112895541920412,-0.5199903227218592,,,-0.0003969999999999807,0.0,-5.699999999997374e-05,,,,,,,,0.0003969999999999807,0.00034000000000000696,-5.699999999997374e-05,0.46155033
50,450,0,121694.68,1,1.00011,6649985.31,,,0.999173,48304.9,1.00011,6404.0,1.0,-9.850264,24750,450_0_50,0.7658881827271249,-0.9640577581398675,,,0.0,0.0009370000000000767,0.0001100000000000545,,,,,,,,0.0009370000000000767,0.0001100000000000545,-0.0008270000000000222,-0.04992675
51,450,0,469786.87,-1,0.999616,1898272.0,,,0.999616,2953.5,1.000733,5644.8,1.0,8.200407,24750,450_0_51,-0.31300373329611675,-0.6032304129331041,,,-0.0011170000000001457,0.0,-0.00038400000000005097,,,,,,,,0.0011170000000001457,0.0007330000000000947,-0.00038400000000005097,0.49199566
52,450,0,495179.3,-1,0.999958,3933238.03,,,0.999863,21118.0,1.000147,22708.3,1.0,-3.669858,24750,450_0_52,-0.03628643075048542,-0.7763628569306498,,,-0.0001889999999998837,9.500000000006725e-05,-4.199999999998649e-05,,,,,,,,0.00028399999999995096,0.0001469999999998972,-0.00013700000000005375,0.16822848
53,450,0,1688511.78,1,0.999872,10991564.8,,,0.999419,17640.0,1.000099,3000.84,1.0,-1.4001131,24750,450_0_53,0.7092327637828693,-0.7336748292729949,,,-0.00022700000000008824,0.0004530000000000367,-0.000128000000000017,,,,,,,,0.000680000000000125,9.900000000007125e-05,-0.0005810000000000537,-0.3723709
54,450,0,12604800.0,1,0.999376,27231105.26,,,0.999376,42445.52,1.0006,40863.0,1.0,-8.599758,24750,450_0_54,0.01899589621805785,-0.36716387300696174,,,-0.0012239999999998918,0.0,-0.0006239999999999579,,,,,,,,0.0012239999999998918,0.0005999999999999339,-0.0006239999999999579,-0.02711026
55,450,0,5924568.71,1,0.999705,10029761.66,,,0.999886,5522.0,1.000972,46988.0,1.0,-0.590086,24750,450_0_55,-0.7896781565416111,-0.2573090098296617,,,-0.0012670000000000181,-0.00018100000000009775,-0.0002950000000000452,,,,,,,,0.0010859999999999204,0.0009719999999999729,-0.00011399999999994748,0.49199566
56,450,0,0.0,0,0.999984,19261534.68,,,0.999876,9237.0,1.000309,23010.09,1.0,-9.490252,24750,450_0_56,-0.4271110974664691,-1.0,,,-0.0003249999999999087,0.00010799999999999699,-1.6000000000016e-05,,,,,,,,0.0004329999999999057,0.0003089999999998927,-0.000124000000000013,0.48284757
57,450,0,6158961.92,1,0.999922,15482522.27,,,0.999922,1967.88,1.001954,49297.0,1.0,3.6597252,24750,450_0_57,-0.9232269733197465,-0.43081889708415605,,,-0.0020320000000000338,0.0,-7.80000000000225e-05,,,,,,,,0.0020320000000000338,0.0019540000000000113,-7.80000000000225e-05,0.46582162
58,450,0,14486441.11,-1,0.999441,56654034.03,,,0.999106,447.03,1.000894,447.83,1.0,-4.5901537,24750,450_0_58,-0.0008939945913327352,-0.5927370155599442,,,-0.0014529999999999266,0.0003349999999999742,-0.0005589999999999762,,,,,,,,0.0017879999999999008,0.0008939999999999504,-0.0008939999999999504,-0.57681
59,450,0,6989996.68,1,0.999469,3463298.98,,,0.999251,11163.42,1.000339,5058.9,1.0,1.180172,24750,450_0_59,0.3763037592650127,0.3373766336194876,,,-0.0008700000000000374,0.00021800000000005149,-0.0005309999999999482,,,,,,,,0.001088000000000089,0.00033900000000008923,-0.0007489999999999997,-0.29183668
60,450,0,205081.11,-1,0.999925,18797638.12,,,0.999784,21664.8,1.000419,42081.93,1.0,7.480383,24750,450_0_60,-0.32028513462572905,-0.9784156038388198,,,-0.0004939999999999944,0.00014099999999994672,-7.500000000004725e-05,,,,,,,,0.0006349999999999412,0.0004189999999999472,-0.00021599999999999397,0.48284757
61,450,0,0.0,0,0.999504,1001815.44,,,0.999504,27470.96,1.0007,38853.54,1.0,9.750128,24750,450_0_61,-0.1716195372750643,-1.0,,,-0.0011959999999999749,0.0,-0.000496000000000052,,,,,,,,0.0011959999999999749,0.0006999999999999229,-0.000496000000000052,0.48711887
62,450,0,352591.36,-1,0.99932,1276418.36,,,0.998746,19424.6,1.000212,3294.48,1.0,-14.650226,24750,450_0_62,0.7099812140280328,-0.5671095688735363,,,-0.0008920000000001149,0.0005739999999999634,-0.0006800000000000139,,,,,,,,0.0014660000000000784,0.000212000000000101,-0.0012539999999999774,-1.4182545
63,450,0,1096103.65,1,0.999576,4739271.17,,,0.999576,16977.0,1.000283,11326.0,1.0,-1.7601252,24750,450_0_63,0.19966081334134192,-0.6243245091152516,,,-0.0007070000000000132,0.0,-0.00042399999999997995,,,,,,,,0.0007070000000000132,0.0002830000000000332,-0.00042399999999997995,0.43111035
64,450,0,514520.42,-1,0.999127,5665499.3,,,0.999127,7788.96,1.000097,866.28,1.0,-0.590086,24750,450_0_64,0.7998253081370361,-0.8334890685429722,,,-0.0009700000000000264,0.0,-0.0008730000000000127,,,,,,,,0.0009700000000000264,9.700000000001374e-05,-0.0008730000000000127,-0.9348073
65,450,0,3424120.55,1,1.000044,14872578.31,,,0.99979,31464.0,1.000044,6609.12,1.0,-9.679794,24750,450_0_65,0.65281962707548,-0.6257116569278226,,,0.0,0.00025399999999997647,4.399999999993298e-05,,,,,,,,0.00025399999999997647,4.399999999993298e-05,-0.00021000000000004349,0.1523972
66,450,0,1471246.91,-1,0.999754,435916.28,,,0.999754,4946.13,1.000391,7856.0,1.0,3.7395954,24750,450_0_66,-0.2272957703132213,0.54286420555338,,,-0.0006369999999999987,0.0,-0.00024599999999996847,,,,,,,,0.0006369999999999987,0.0003910000000000302,-0.00024599999999996847,0.45110026
67,450,0,12221659.9,-1,1.000607,17960817.04,,,0.999485,1496.4,1.000687,1997.6,1.0,11.75046,24750,450_0_67,-0.143445907269605,-0.19014864656101346,,,-8.000000000008001e-05,0.0011220000000000674,0.0006070000000000242,,,,,,,,0.0012020000000001474,0.0006870000000001042,-0.0005150000000000432,0.6888078
68,450,0,2704287.62,1,0.999659,15111997.37,,,0.999475,38013.5,1.000211,15325.29,1.0,-3.4201145,24750,450_0_68,0.42536041781225253,-0.6964251950933796,,,-0.0005519999999999969,0.00018399999999996197,-0.0003410000000000357,,,,,,,,0.0007359999999999589,0.00021099999999996122,-0.0005249999999999977,-0.20413369
69,450,0,10667.87,1,1.001371,1351604.39,,,0.999395,78693.12,1.001371,178742.85,1.0,16.789436,24750,450_0_69,-0.38863927989550184,-0.9843381234232867,,,0.0,0.0019759999999999778,0.001371000000000011,,,,,,,,0.0019759999999999778,0.001371000000000011,-0.0006049999999999667,1.2970159
70,450,0,148659.83,1,1.001348,478198.36,,,0.999582,2501.72,1.001348,8074.08,1.0,11.969805,24750,450_0_70,-0.5268972559995462,-0.5256986911186405,,,0.0,0.0017659999999999343,0.0013479999999999048,,,,,,,,0.0017659999999999343,0.0013479999999999048,-0.00041800000000002946,1.664379
71,450,0,6294190.07,1,0.999491,23842896.97,,,0.999865,49048.4,1.000198,72154.0,1.0,-7.709861,24750,450_0_71,-0.19063648904642153,-0.5822960552460879,,,-0.0007069999999999022,-0.00037399999999998546,-0.0005089999999999817,,,,,,,,0.0003329999999999167,0.00019799999999992046,-0.00013499999999999623,0.46155033
72,450,0,43976451.9,1,1.000056,59625459.7,,,0.999797,38556.0,1.000264,50146.2,1.0,3.2794476,24750,450_0_72,-0.13066417743866554,-0.15104941171761163,,,-0.00020799999999998597,0.0002590000000000092,5.6000000000056005e-05,,,,,,,,0.0004669999999999952,0.000264000000000042,-0.00020299999999995322,0.4270344
73,450,0,1788482.98,1,0.999434,4119119.78,,,0.999434,16588.79,1.000055,1610.0,1.0,-4.9501657,24750,450_0_73,0.8230651598265599,-0.394514813314902,,,-0.0006209999999998717,0.0,-0.0005659999999999554,,,,,,,,0.0006209999999998717,5.499999999991623e-05,-0.0005659999999999554,-0.25396523
74,450,0,1709478.4,1,0.999649,8083919.06,,,0.998559,7327.5,1.000058,293.54,1.0,6.4003468,24750,450_0_74,0.9229658944186095,-0.6508916528748748,,,-0.0004089999999998817,0.0010900000000000354,-0.0003509999999999902,,,,,,,,0.001498999999999917,5.799999999989147e-05,-0.0014410000000000256,-0.66509306
75,450,0,17492484.32,1,0.999522,20060872.43,,,0.999568,1296.06,1.000864,2595.48,1.0,3.9803982,24750,450_0_75,-0.3339089409334094,-0.0683930367955722,,,-0.0013419999999999543,-4.599999999999049e-05,-0.00047799999999997844,,,,,,,,0.0012959999999999638,0.0008639999999999759,-0.00043199999999998795,0.46582162
76,450,0,1982169.9,-1,0.999919,2814647.75,,,0.999597,6204.0,1.000403,6209.0,1.0,0.08940697,24750,450_0_76,-0.00040280351244662856,-0.17354794589700528,,,-0.00048399999999992893,0.00032200000000004447,-8.099999999999774e-05,,,,,,,,0.0008059999999999734,0.0004029999999999312,-0.0004030000000000422,0.31994355
77,450,0,5112610.9,1,1.000686,49653104.5,,,0.999948,678.3,1.000774,10182.9,1.0,3.0195713,24750,450_0_77,-0.8750966744006189,-0.8132915506477617,,,-8.800000000008801e-05,0.0007380000000000164,0.0006859999999999644,,,,,,,,0.0008260000000001044,0.0007740000000000524,-5.2000000000052005e-05,1.4144439
78,450,0,50409.96,1,1.000032,460895.94,,,0.99887,64801.0,1.000032,1816.71,1.0,4.6503544,24750,450_0_78,0.945458647557834,-0.8028187822593089,,,0.0,0.0011619999999999964,3.2000000000032e-05,,,,,,,,0.0011619999999999964,3.2000000000032e-05,-0.0011299999999999644,-0.35316727
79,450,0,2586361.11,1,1.000059,9824232.81,,,0.999254,14184.63,1.000059,1130.22,1.0,-5.570054,24750,450_0_79,0.8524020803337937,-0.5832010737484513,,,0.0,0.0008050000000000557,5.900000000003125e-05,,,,,,,,0.0008050000000000557,5.900000000003125e-05,-0.0007460000000000244,-0.3193301
80,450,0,440240.77,1,1.000245,585084.26,,,0.999698,5489.0,1.000609,11097.88,1.0,-9.549856,24750,450_0_80,-0.3381515993363429,-0.14126592618147632,,,-0.00036400000000003097,0.0005470000000000752,0.00024500000000005073,,,,,,,,0.0009110000000001062,0.0006090000000000817,-0.00030200000000002447,0.87694
81,450,0,6447880.96,1,1.000078,20372655.08,,,0.999846,50675.76,1.00031,101981.25,1.0,0.859499,24750,450_0_81,-0.33608341994907404,-0.5191832892240732,,,-0.00023200000000000998,0.00023200000000000998,7.80000000000225e-05,,,,,,,,0.00046400000000001995,0.00031000000000003247,-0.00015399999999998748,0.46155033
82,450,0,644707.89,1,1.001138,105471.74,,,0.996984,131779.2,1.001138,49911.1,1.0,5.120039,24750,450_0_82,0.4505914735128953,0.7188093736962706,,,0.0,0.004154000000000102,0.0011380000000000834,,,,,,,,0.004154000000000102,0.0011380000000000834,-0.0030160000000000187,-0.27672955
